OID_,Field1,Value,Count,Area
1,30,2,1.000000000000000,856.672776228433122
2,39,2,1.000000000000000,856.672776228433122
3,80,2,1.000000000000000,856.672776228433122
4,86,1,1.000000000000000,856.672776228433122
5,89,1,1.000000000000000,856.672776228433122
6,101,1,1.000000000000000,856.672776228433122
7,102,1,1.000000000000000,856.672776228433122
8,173,2,1.000000000000000,856.672776228433122
9,176,0,1.000000000000000,856.672776228433122
10,195,1,1.000000000000000,856.672776228433122
11,268,2,1.000000000000000,856.672776228433122
12,361,2,1.000000000000000,856.672776228433122
13,383,1,1.000000000000000,856.672776228433122
14,400,2,1.000000000000000,856.672776228433122
15,411,2,1.000000000000000,856.672776228433122
16,420,1,1.000000000000000,856.672776228433122
17,436,1,1.000000000000000,856.672776228433122
18,448,1,1.000000000000000,856.672776228433122
19,471,2,1.000000000000000,856.672776228433122
20,477,0,1.000000000000000,856.672776228433122
21,485,1,1.000000000000000,856.672776228433122
22,489,0,1.000000000000000,856.672776228433122
23,527,1,1.000000000000000,856.672776228433122
24,541,2,1.000000000000000,856.672776228433122
25,542,2,1.000000000000000,856.672776228433122
26,689,2,1.000000000000000,856.672776228433122
27,716,1,1.000000000000000,856.672776228433122
28,726,2,1.000000000000000,856.672776228433122
29,782,1,1.000000000000000,856.672776228433122
30,793,2,1.000000000000000,856.672776228433122
31,834,1,1.000000000000000,856.672776228433122
32,836,2,1.000000000000000,856.672776228433122
33,838,2,1.000000000000000,856.672776228433122
34,882,0,1.000000000000000,856.672776228433122
35,917,2,1.000000000000000,856.672776228433122
36,957,2,1.000000000000000,856.672776228433122
37,1021,0,1.000000000000000,856.672776228433122
38,1027,2,1.000000000000000,856.672776228433122
39,1049,2,1.000000000000000,856.672776228433122
40,1051,2,1.000000000000000,856.672776228433122
41,1075,2,1.000000000000000,856.672776228433122
42,1136,1,1.000000000000000,856.672776228433122
43,1152,2,1.000000000000000,856.672776228433122
44,1155,1,1.000000000000000,856.672776228433122
45,1178,2,1.000000000000000,856.672776228433122
46,1185,2,1.000000000000000,856.672776228433122
47,1194,2,1.000000000000000,856.672776228433122
48,1206,2,1.000000000000000,856.672776228433122
49,1293,2,1.000000000000000,856.672776228433122
50,1294,2,1.000000000000000,856.672776228433122
51,1338,1,1.000000000000000,856.672776228433122
52,1438,1,1.000000000000000,856.672776228433122
53,1456,2,1.000000000000000,856.672776228433122
54,1503,1,1.000000000000000,856.672776228433122
55,1549,2,1.000000000000000,856.672776228433122
56,1555,2,1.000000000000000,856.672776228433122
57,1609,2,1.000000000000000,856.672776228433122
58,1628,1,1.000000000000000,856.672776228433122
59,1631,0,1.000000000000000,856.672776228433122
60,1678,0,1.000000000000000,856.672776228433122
61,1691,2,1.000000000000000,856.672776228433122
62,1742,1,1.000000000000000,856.672776228433122
63,1762,2,1.000000000000000,856.672776228433122
64,1893,0,1.000000000000000,856.672776228433122
65,1913,1,1.000000000000000,856.672776228433122
66,2002,2,1.000000000000000,856.672776228433122
67,2049,2,1.000000000000000,856.672776228433122
68,2159,1,1.000000000000000,856.672776228433122
69,2200,1,1.000000000000000,856.672776228433122
70,2218,2,1.000000000000000,856.672776228433122
71,2375,2,1.000000000000000,856.672776228433122
72,2376,2,1.000000000000000,856.672776228433122
73,2396,1,1.000000000000000,856.672776228433122
74,2410,1,1.000000000000000,856.672776228433122
75,2451,2,1.000000000000000,856.672776228433122
76,2474,2,1.000000000000000,856.672776228433122
77,2519,2,1.000000000000000,856.672776228433122
78,2524,2,1.000000000000000,856.672776228433122
79,2561,2,1.000000000000000,856.672776228433122
80,2601,2,1.000000000000000,856.672776228433122
81,2605,2,1.000000000000000,856.672776228433122
82,2695,2,1.000000000000000,856.672776228433122
83,2804,2,1.000000000000000,856.672776228433122
84,2820,0,1.000000000000000,856.672776228433122
85,2859,2,1.000000000000000,856.672776228433122
86,3008,1,1.000000000000000,856.672776228433122
87,3034,0,1.000000000000000,856.672776228433122
88,3044,1,1.000000000000000,856.672776228433122
89,3092,1,1.000000000000000,856.672776228433122
90,3101,2,1.000000000000000,856.672776228433122
91,3111,1,1.000000000000000,856.672776228433122
92,3128,1,1.000000000000000,856.672776228433122
93,3136,0,1.000000000000000,856.672776228433122
94,3145,2,1.000000000000000,856.672776228433122
95,3147,0,1.000000000000000,856.672776228433122
96,3156,1,1.000000000000000,856.672776228433122
97,3273,2,1.000000000000000,856.672776228433122
98,3313,1,1.000000000000000,856.672776228433122
99,3318,2,1.000000000000000,856.672776228433122
100,3353,0,1.000000000000000,856.672776228433122
101,3361,1,1.000000000000000,856.672776228433122
102,3363,2,1.000000000000000,856.672776228433122
103,3372,1,1.000000000000000,856.672776228433122
104,3373,1,1.000000000000000,856.672776228433122
105,3376,1,1.000000000000000,856.672776228433122
106,3380,1,1.000000000000000,856.672776228433122
107,3382,1,1.000000000000000,856.672776228433122
108,3411,1,1.000000000000000,856.672776228433122
109,3435,2,1.000000000000000,856.672776228433122
110,3446,1,1.000000000000000,856.672776228433122
111,3466,1,1.000000000000000,856.672776228433122
112,3493,1,1.000000000000000,856.672776228433122
113,3533,1,1.000000000000000,856.672776228433122
114,3539,2,1.000000000000000,856.672776228433122
115,3549,1,1.000000000000000,856.672776228433122
116,3554,1,1.000000000000000,856.672776228433122
117,3556,2,1.000000000000000,856.672776228433122
118,3565,2,1.000000000000000,856.672776228433122
119,3572,1,1.000000000000000,856.672776228433122
120,3579,1,1.000000000000000,856.672776228433122
121,3595,0,1.000000000000000,856.672776228433122
122,3609,1,1.000000000000000,856.672776228433122
123,3635,2,1.000000000000000,856.672776228433122
124,3653,2,1.000000000000000,856.672776228433122
125,3699,2,1.000000000000000,856.672776228433122
126,3736,2,1.000000000000000,856.672776228433122
127,3760,2,1.000000000000000,856.672776228433122
128,3769,2,1.000000000000000,856.672776228433122
129,3797,1,1.000000000000000,856.672776228433122
130,3815,0,1.000000000000000,856.672776228433122
131,3865,2,1.000000000000000,856.672776228433122
132,3911,2,1.000000000000000,856.672776228433122
133,3939,2,1.000000000000000,856.672776228433122
134,3970,0,1.000000000000000,856.672776228433122
135,3973,1,1.000000000000000,856.672776228433122
136,3977,2,1.000000000000000,856.672776228433122
137,3992,2,1.000000000000000,856.672776228433122
138,4026,2,1.000000000000000,856.672776228433122
139,4033,2,1.000000000000000,856.672776228433122
140,4071,1,1.000000000000000,856.672776228433122
141,4072,2,1.000000000000000,856.672776228433122
142,4132,0,1.000000000000000,856.672776228433122
143,4172,0,1.000000000000000,856.672776228433122
144,4241,1,1.000000000000000,856.672776228433122
145,4290,1,1.000000000000000,856.672776228433122
146,4360,1,1.000000000000000,856.672776228433122
147,4521,2,1.000000000000000,856.672776228433122
148,4553,1,1.000000000000000,856.672776228433122
149,4577,0,1.000000000000000,856.672776228433122
150,4584,1,1.000000000000000,856.672776228433122
151,4593,2,1.000000000000000,856.672776228433122
152,4606,1,1.000000000000000,856.672776228433122
153,4616,2,1.000000000000000,856.672776228433122
154,4639,0,1.000000000000000,856.672776228433122
155,4641,1,1.000000000000000,856.672776228433122
156,4733,1,1.000000000000000,856.672776228433122
157,4757,2,1.000000000000000,856.672776228433122
158,4807,2,1.000000000000000,856.672776228433122
159,4809,1,1.000000000000000,856.672776228433122
160,4872,1,1.000000000000000,856.672776228433122
161,4874,1,1.000000000000000,856.672776228433122
162,4913,2,1.000000000000000,856.672776228433122
163,4937,2,1.000000000000000,856.672776228433122
164,4973,1,1.000000000000000,856.672776228433122
165,4997,2,1.000000000000000,856.672776228433122
